"StimulusA","StimulusB"
25.33,26.45
26.77,27.53
22.76,20.02
20.94,22.83
25.4,28.05
22.49,23.67
24.54,23.25
20.4,21.38
21.85,24.39
22.21,23.77
26.21,27.35
22.07,21.44
29.09,27.14
25,27.35
22.96,26.61
22.13,25.12
22.91,26.64
25.04,23.01
27.43,27
24.34,25.36
24.08,24.63
25.71,26.77
21.58,23.06
22.13,22.54
26.28,24.36
28.02,24.14
25.24,25.6216436932471
24.8,25.2826340501705
22.41,23.441195307095
26.08,26.2688439209389
24.29,24.8896910547862
25.52,25.8373771024777
23.18,24.0344621824791
26.67,26.7234250332463
24.39,24.9667387009399
21.94,23.0790713701722
24.93,25.3827959901704
22.23,23.3025095440182
23.48,24.2656051209405
23.48,24.2656051209405
25.91,26.1378629224775
26.1464525231983,27.48
20.9209259854527,20.32
23.9496878753471,24.47
24.3291953892616,24.99
24.6357206889618,25.41
26.3872938301056,27.81
25.2414730669407,26.24
25.1247015241978,26.08
24.0956523037758,24.67
23.4169177115826,23.74
25.2341748455192,26.23
25.7158574593338,26.89
22.5995169123821,22.62
21.5558712491173,21.19
25.2195784026764,26.21
25.1101050813549,26.06
22.4097631554249,22.36
